frame_index,timestamp,elapsed_ms,num_poses_detected
212,2026-03-20T01:09:55.685,51.411,1
213,2026-03-20T01:09:55.740,50.864,1
214,2026-03-20T01:09:55.793,49.372,1
215,2026-03-20T01:09:55.846,49.158,1
216,2026-03-20T01:09:55.900,49.730,1
217,2026-03-20T01:09:55.954,49.597,1
218,2026-03-20T01:09:56.009,50.464,1
219,2026-03-20T01:09:56.063,50.102,1
220,2026-03-20T01:09:56.117,49.932,1
221,2026-03-20T01:09:56.174,51.746,1
222,2026-03-20T01:09:56.229,50.819,1
223,2026-03-20T01:09:56.286,52.474,1
224,2026-03-20T01:09:56.342,51.467,1
225,2026-03-20T01:09:56.398,51.663,1
226,2026-03-20T01:09:56.454,51.184,1
227,2026-03-20T01:09:56.509,51.149,1
228,2026-03-20T01:09:56.566,52.380,1
229,2026-03-20T01:09:56.621,51.229,1
230,2026-03-20T01:09:56.675,49.353,1
231,2026-03-20T01:09:56.729,49.429,1
232,2026-03-20T01:09:56.785,52.002,1
233,2026-03-20T01:09:56.842,52.604,1
234,2026-03-20T01:09:56.898,51.292,1
235,2026-03-20T01:09:56.953,50.138,1
236,2026-03-20T01:09:57.012,55.043,1
237,2026-03-20T01:09:57.071,53.907,1
238,2026-03-20T01:09:57.143,67.407,1
239,2026-03-20T01:09:57.207,59.115,1
240,2026-03-20T01:09:57.268,53.740,1
241,2026-03-20T01:09:57.321,49.045,1
242,2026-03-20T01:09:57.377,51.339,1
243,2026-03-20T01:09:57.433,51.469,1
244,2026-03-20T01:09:57.489,51.280,1
245,2026-03-20T01:09:57.544,50.844,1
246,2026-03-20T01:09:57.601,52.399,1
247,2026-03-20T01:09:57.656,50.334,1
248,2026-03-20T01:09:57.711,50.715,1
249,2026-03-20T01:09:57.768,52.509,1
250,2026-03-20T01:09:57.822,50.317,1
251,2026-03-20T01:09:57.878,50.911,1
252,2026-03-20T01:09:57.932,49.302,1
253,2026-03-20T01:09:57.985,48.934,1
254,2026-03-20T01:09:58.039,49.510,1
255,2026-03-20T01:09:58.096,53.178,1
256,2026-03-20T01:09:58.150,49.583,1
257,2026-03-20T01:09:58.204,49.728,1
258,2026-03-20T01:09:58.258,49.537,1
259,2026-03-20T01:09:58.312,49.262,1
260,2026-03-20T01:09:58.366,49.330,1
261,2026-03-20T01:09:58.420,49.376,1
262,2026-03-20T01:09:58.473,48.938,1
263,2026-03-20T01:09:58.526,49.466,1
264,2026-03-20T01:09:58.580,49.347,1
265,2026-03-20T01:09:58.636,51.030,1
266,2026-03-20T01:09:58.690,49.457,1
267,2026-03-20T01:09:58.743,48.995,1
268,2026-03-20T01:09:58.796,49.305,1
269,2026-03-20T01:09:58.851,49.733,1
270,2026-03-20T01:09:58.906,51.267,1
271,2026-03-20T01:09:58.963,52.186,1
272,2026-03-20T01:09:59.018,51.089,1
273,2026-03-20T01:09:59.077,53.989,1
274,2026-03-20T01:09:59.134,52.640,1
275,2026-03-20T01:09:59.190,51.643,1
276,2026-03-20T01:09:59.247,52.195,1
277,2026-03-20T01:09:59.302,50.760,1
278,2026-03-20T01:09:59.357,50.678,1
279,2026-03-20T01:09:59.413,51.206,1
280,2026-03-20T01:09:59.468,51.311,1
281,2026-03-20T01:09:59.525,51.891,1
282,2026-03-20T01:09:59.578,49.238,1
283,2026-03-20T01:09:59.634,51.217,1
284,2026-03-20T01:09:59.688,49.076,1
285,2026-03-20T01:09:59.741,49.299,1
286,2026-03-20T01:09:59.795,49.876,1
287,2026-03-20T01:09:59.849,49.165,1
